Rk,Team,Date,ORtg,DRtg,3PA,TOV,ORB,DRB,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
1,Abilene Christian,11/3/2025,117.6,70.3,20,13,17,34,,McMurry,W 92-55,200,34,69,0.493,28,49,0.571,6,20,0.3,18,26,0.692,92,18,63,0.286,10,32,0.313,8,31,0.258,11,15,0.733,55,17,34,51,7,18,25,21,7,7,13,15,10,6,5,16,20,117.6,70.3,0.377,0.29,0.565,0.536,0.261,70.3,117.6,0.238,0.492,0.392,0.349,0.175
2,Air Force,11/3/2025,97.6,122.3,21,18,8,22,@,Belmont,L 63-79,200,24,47,0.511,16,26,0.615,8,21,0.381,7,9,0.778,63,26,55,0.473,20,33,0.606,6,22,0.273,21,25,0.84,79,8,22,30,7,14,21,15,7,2,18,18,16,8,1,8,15,97.6,122.3,0.191,0.447,0.614,0.596,0.149,122.3,97.6,0.455,0.4,0.591,0.527,0.382
3,Akron,11/3/2025,114.9,96,25,8,12,21,,James Madison,W 85-71,200,27,63,0.429,19,38,0.5,8,25,0.32,23,29,0.793,85,24,61,0.393,13,32,0.406,11,29,0.379,12,13,0.923,71,12,21,33,9,21,30,15,10,6,8,13,14,5,9,17,22,114.9,96,0.46,0.397,0.554,0.492,0.365,96,114.9,0.213,0.475,0.528,0.484,0.197
4,Alabama,11/3/2025,118.3,80.6,27,15,8,33,,North Dakota,W 91-62,200,31,58,0.534,23,31,0.742,8,27,0.296,21,27,0.778,91,24,62,0.387,19,42,0.452,5,20,0.25,9,17,0.529,62,8,33,41,4,18,22,22,8,7,15,15,13,11,1,10,19,118.3,80.6,0.466,0.466,0.642,0.603,0.362,80.6,118.3,0.274,0.323,0.442,0.427,0.145
5,Alabama A&M,11/3/2025,110.3,82.8,25,14,11,32,,Blue Mountain,W 80-60,200,29,62,0.468,20,37,0.541,9,25,0.36,13,15,0.867,80,18,61,0.295,14,34,0.412,4,27,0.148,20,25,0.8,60,11,32,43,8,20,28,17,3,2,14,18,11,4,3,8,15,110.3,82.8,0.242,0.403,0.579,0.54,0.21,82.8,110.3,0.41,0.443,0.412,0.328,0.328
6,UAB,11/3/2025,123.5,64.1,26,8,14,30,,Mississippi Valley State,W 106-55,200,37,74,0.5,28,48,0.583,9,26,0.346,23,37,0.622,106,16,55,0.291,11,34,0.324,5,21,0.238,18,19,0.947,55,14,30,44,4,22,26,18,17,1,8,15,9,8,4,26,23,123.5,64.1,0.5,0.351,0.579,0.561,0.311,64.1,123.5,0.345,0.382,0.43,0.336,0.327
7,Albany (NY),11/3/2025,67.9,102.4,30,22,16,23,@,Marquette,L 53-80,200,19,67,0.284,14,37,0.378,5,30,0.167,10,14,0.714,53,24,58,0.414,19,34,0.559,5,24,0.208,27,39,0.692,80,16,23,39,14,27,41,11,8,4,22,27,16,18,4,14,16,67.9,102.4,0.209,0.448,0.36,0.321,0.149,102.4,67.9,0.672,0.414,0.523,0.457,0.466
8,American,11/3/2025,96.1,114.3,30,18,8,23,@,Wake Forest,L 74-88,200,25,58,0.431,17,28,0.607,8,30,0.267,16,18,0.889,74,31,65,0.477,24,40,0.6,7,25,0.28,19,24,0.792,88,8,23,31,10,26,36,11,7,0,18,18,20,16,5,11,20,96.1,114.3,0.31,0.517,0.556,0.5,0.276,114.3,96.1,0.369,0.385,0.576,0.531,0.292
9,Appalachian State,11/3/2025,102.4,127.3,27,7,16,16,@,Central Michigan,L 66-82,200,21,59,0.356,11,32,0.344,10,27,0.37,14,29,0.483,66,30,58,0.517,22,40,0.55,8,18,0.444,14,17,0.824,82,16,16,32,11,28,39,13,7,3,7,18,16,3,4,10,26,102.4,127.3,0.492,0.458,0.453,0.441,0.237,127.3,102.4,0.293,0.31,0.621,0.586,0.241
10,Arizona,11/3/2025,113.9,106.6,5,13,12,26,N,Florida,W 93-87,200,30,61,0.492,28,56,0.5,2,5,0.4,31,38,0.816,93,30,70,0.429,23,43,0.535,7,27,0.259,20,30,0.667,87,12,26,38,15,21,36,15,8,5,13,22,15,9,2,14,23,113.9,106.6,0.623,0.082,0.588,0.508,0.508,106.6,113.9,0.429,0.386,0.516,0.479,0.286
11,Arkansas,11/3/2025,133.6,94.4,28,9,14,28,,Southern,W 109-77,200,37,73,0.507,27,45,0.6,10,28,0.357,25,29,0.862,109,27,69,0.391,15,42,0.357,12,27,0.444,11,24,0.458,77,14,28,42,11,21,32,23,10,4,9,18,10,3,3,12,20,133.6,94.4,0.397,0.384,0.628,0.575,0.342,94.4,133.6,0.348,0.391,0.479,0.478,0.159
12,Arkansas–Pine Bluff,11/3/2025,66.1,124.2,31,15,11,16,@,Washington,L 50-94,200,17,67,0.254,9,36,0.25,8,31,0.258,8,12,0.667,50,30,61,0.492,20,36,0.556,10,25,0.4,24,33,0.727,94,11,16,27,16,33,49,7,10,3,15,24,21,9,4,14,14,66.1,124.2,0.179,0.463,0.344,0.313,0.119,124.2,66.1,0.541,0.41,0.613,0.574,0.393
13,Arkansas State,11/3/2025,116.5,111.3,27,18,12,27,@,Ohio,W 89-85,200,27,56,0.482,17,29,0.586,10,27,0.37,25,28,0.893,89,31,63,0.492,23,37,0.622,8,26,0.308,15,22,0.682,85,12,27,39,6,14,20,13,6,2,18,27,11,4,1,10,19,116.5,111.3,0.5,0.482,0.642,0.571,0.446,111.3,116.5,0.349,0.413,0.579,0.556,0.238
14,Army,11/3/2025,102,68.5,41,10,17,24,,SUNY Maritime,W 73-49,200,29,74,0.392,18,33,0.545,11,41,0.268,4,8,0.5,73,13,49,0.265,8,29,0.276,5,20,0.25,18,28,0.643,49,17,24,41,8,23,31,17,12,3,10,21,8,7,6,18,14,102,68.5,0.108,0.554,0.469,0.466,0.054,68.5,102,0.571,0.408,0.393,0.316,0.367
15,Auburn,11/3/2025,116.3,110.2,23,11,12,25,,Bethune-Cookman,W 95-90 (OT),225,31,68,0.456,25,45,0.556,6,23,0.261,27,38,0.711,95,35,70,0.5,23,47,0.489,12,23,0.522,8,9,0.889,90,12,25,37,8,24,32,15,10,4,11,12,18,9,9,12,24,116.3,110.2,0.559,0.338,0.552,0.5,0.397,110.2,116.3,0.129,0.329,0.606,0.586,0.114
