team,date,opponent,OffRtg,DefRtg,ThreePA,TOV,ORB,DRB,location,MOV,roll_OffRtg,roll_DefRtg,roll_ThreePA,roll_TOV,roll_ORB,roll_DRB,recent_form,games_played
Abilene Christian,2025-11-14,Stephen F. Austin,96.8,111.5,10,10,8,27,-1,-10,120.16666666666667,84.89999999999999,21.0,12.666666666666666,12.333333333333334,25.0,26.666666666666668,3
Abilene Christian,2025-11-18,Texas State,75.1,96.6,15,14,12,15,-1,-14,114.325,91.55,18.25,12.0,11.25,25.5,17.5,4
Abilene Christian,2025-11-24,UTSA,93.9,77.0,22,12,16,21,0,11,106.47999999999999,92.55999999999999,17.6,12.4,11.4,23.4,11.2,5
Abilene Christian,2025-11-25,William & Mary,76.2,120.8,27,19,9,15,0,-34,104.38333333333333,89.96666666666665,18.333333333333332,12.333333333333334,12.166666666666666,23.0,6.0,6
Abilene Christian,2025-11-28,Jarvis Christian,117.3,74.2,23,16,15,28,1,32,100.35714285714286,94.37142857142858,19.571428571428573,13.285714285714286,11.714285714285714,21.857142857142858,-1.2,7
Abilene Christian,2025-12-02,Pepperdine,116.6,103.4,22,7,9,19,-1,8,102.475,91.85,20.0,13.625,12.125,22.625,-3.0,8
Abilene Christian,2025-12-06,New Mexico State,116.2,104.1,17,13,7,16,1,8,104.04444444444444,93.13333333333334,20.22222222222222,12.88888888888889,11.777777777777779,22.22222222222222,0.6,9
Abilene Christian,2025-12-16,Arizona,82.7,128.1,16,16,9,10,-1,-34,105.25999999999999,94.22999999999999,19.9,12.9,11.3,21.6,5.0,10
Abilene Christian,2025-12-19,Brigham Young,91.7,116.3,16,15,7,14,-1,-18,103.2090909090909,97.30909090909091,19.545454545454547,13.181818181818182,11.090909090909092,20.545454545454547,-4.0,11
Abilene Christian,2025-12-22,Texas Southern,108.8,98.7,19,14,7,22,-1,7,102.25,98.89166666666667,19.25,13.333333333333334,10.75,20.0,-0.8,12
Abilene Christian,2026-01-01,Utah Tech,96.4,119.0,17,16,8,14,1,-15,102.75384615384615,98.87692307692308,19.23076923076923,13.384615384615385,10.461538461538462,20.153846153846153,-5.8,13
Abilene Christian,2026-01-03,Utah Valley,120.8,96.6,13,10,7,18,1,17,102.3,100.31428571428572,19.071428571428573,13.571428571428571,10.285714285714286,19.714285714285715,-10.4,14
Abilene Christian,2026-01-08,Tarleton State,114.2,108.8,17,18,10,20,-1,4,103.53333333333333,100.06666666666666,18.666666666666668,13.333333333333334,10.066666666666666,19.6,-8.6,15
Abilene Christian,2026-01-10,UT Arlington,107.5,122.4,12,10,5,12,-1,-10,104.2,100.6125,18.5625,13.625,10.0625,19.625,-1.0,16
Abilene Christian,2026-01-15,California Baptist,89.3,114.0,10,8,6,18,1,-16,104.39411764705882,101.89411764705882,18.176470588235293,13.411764705882353,9.764705882352942,19.176470588235293,0.6,17
Abilene Christian,2026-01-17,Southern Utah,69.6,99.0,18,14,13,21,-1,-22,103.55555555555556,102.56666666666666,17.72222222222222,13.11111111111111,9.555555555555555,19.11111111111111,-4.0,18
Abilene Christian,2026-01-29,Utah Tech,94.4,102.4,24,16,10,20,1,-6,101.76842105263158,102.37894736842105,17.736842105263158,13.157894736842104,9.736842105263158,19.210526315789473,-5.4,19
Abilene Christian,2026-01-31,Southern Utah,108.8,113.1,23,9,5,9,1,-3,101.4,102.38,18.05,13.3,9.75,19.25,-10.0,20
Abilene Christian,2026-02-05,Utah Valley,80.8,99.9,18,18,8,18,-1,-13,101.75238095238096,102.89047619047618,18.285714285714285,13.095238095238095,9.523809523809524,18.761904761904763,-11.4,21
Abilene Christian,2026-02-07,California Baptist,91.0,93.9,19,12,11,28,-1,-2,100.8,102.75454545454545,18.272727272727273,13.318181818181818,9.454545454545455,18.727272727272727,-12.0,22
Abilene Christian,2026-02-12,UT Arlington,97.5,91.7,21,11,11,17,1,4,100.37391304347825,102.3695652173913,18.304347826086957,13.26086956521739,9.521739130434783,19.130434782608695,-9.2,23
Abilene Christian,2026-02-14,Tarleton State,101.9,82.4,23,22,11,20,1,14,100.25416666666666,101.925,18.416666666666668,13.166666666666666,9.583333333333334,19.041666666666668,-4.0,24
Abilene Christian,2026-02-16,Tarleton State,80.8,84.7,19,18,13,26,-1,-3,100.32,101.14399999999999,18.6,13.52,9.64,19.08,0.0,25
Abilene Christian,2026-02-21,Southern Utah,112.9,107.7,14,11,5,14,1,4,99.56923076923077,100.51153846153846,18.615384615384617,13.692307692307692,9.76923076923077,19.346153846153847,0.0,26
Abilene Christian,2026-02-26,Utah Tech,115.9,121.7,22,6,5,19,-1,-4,100.06296296296296,100.77777777777777,18.444444444444443,13.592592592592593,9.592592592592593,19.14814814814815,3.4,27
Abilene Christian,2026-02-28,Utah Valley,97.3,107.5,18,17,9,22,-1,-7,100.62857142857142,101.52499999999999,18.571428571428573,13.321428571428571,9.428571428571429,19.142857142857142,3.0,28
Abilene Christian,2026-03-05,California Baptist,65.3,118.4,15,21,5,17,-1,-39,100.51379310344828,101.73103448275862,18.551724137931036,13.448275862068966,9.413793103448276,19.24137931034483,0.8,29
Abilene Christian,2026-03-07,UT Arlington,87.1,97.8,17,8,5,19,1,-7,99.33999999999999,102.28666666666666,18.433333333333334,13.7,9.266666666666667,19.166666666666668,-9.8,30
Abilene Christian,2026-03-11,Tarleton State,106.3,98.7,15,15,3,23,0,6,98.94516129032259,102.14193548387097,18.387096774193548,13.516129032258064,9.129032258064516,19.161290322580644,-10.6,31
Abilene Christian,2026-03-12,Utah Tech,103.6,112.0,18,12,8,17,0,-6,99.175,102.034375,18.28125,13.5625,8.9375,19.28125,-10.2,32
Air Force,2025-11-15,Miami (OH),89.2,111.1,18,12,6,24,1,-15,91.26666666666667,110.53333333333335,21.666666666666668,16.0,10.666666666666666,20.666666666666668,-13.333333333333334,3
Air Force,2025-11-19,Alabama State,98.5,95.6,21,17,5,24,1,2,90.75,110.675,20.75,15.0,9.5,21.5,-13.75,4
Air Force,2025-11-21,SIU Edwardsville,110.7,90.6,24,9,10,27,1,14,92.3,107.66,20.8,15.4,8.6,22.0,-10.6,5
Air Force,2025-11-23,IU Indy,123.6,107.2,23,12,6,27,1,13,95.36666666666667,104.81666666666666,21.333333333333332,14.333333333333334,8.833333333333334,22.833333333333332,-4.6,6
Air Force,2025-11-26,Northern Colorado,87.3,116.9,17,8,6,20,1,-18,99.39999999999999,105.15714285714286,21.571428571428573,14.0,8.428571428571429,23.428571428571427,2.0,7
Air Force,2025-11-29,South Dakota,89.0,113.1,10,11,4,17,0,-17,97.8875,106.625,21.0,13.25,8.125,23.0,-0.8,8
Air Force,2025-12-03,Pacific,104.3,128.3,19,10,6,13,1,-15,96.9,107.34444444444445,19.77777777777778,13.0,7.666666666666667,22.333333333333332,-1.2,9
Air Force,2025-12-07,Navy,87.0,94.7,25,11,5,26,-1,-5,97.64,109.44000000000001,19.7,12.7,7.5,21.4,-4.6,10
Air Force,2025-12-17,San Diego State,90.1,125.8,24,13,4,19,-1,-23,96.67272727272729,108.1,20.181818181818183,12.545454545454545,7.2727272727272725,21.818181818181817,-8.4,11
Air Force,2025-12-30,Wyoming,81.0,98.3,12,18,3,19,1,-12,96.125,109.575,20.5,12.583333333333334,7.0,21.583333333333332,-15.6,12
Air Force,2026-01-03,UNLV,60.2,103.3,19,11,7,23,-1,-28,94.96153846153847,108.70769230769231,19.846153846153847,13.0,6.6923076923076925,21.384615384615383,-14.4,13
Air Force,2026-01-06,Utah State,91.8,146.6,20,12,4,16,1,-37,92.47857142857143,108.32142857142857,19.785714285714285,12.857142857142858,6.714285714285714,21.5,-16.6,14
Air Force,2026-01-10,New Mexico,71.2,132.2,18,20,5,20,1,-42,92.43333333333334,110.87333333333332,19.8,12.8,6.533333333333333,21.133333333333333,-21.0,15
Air Force,2026-01-13,San Jose State,102.9,116.2,22,15,9,18,-1,-8,91.10625,112.20625,19.6875,13.25,6.4375,21.0625,-28.4,16
Air Force,2026-01-17,Nevada,97.2,119.3,32,13,3,16,1,-15,91.8,112.44117647058823,19.823529411764707,13.352941176470589,6.588235294117647,20.88235294117647,-25.4,17
Air Force,2026-01-20,Colorado State,80.9,125.9,30,13,6,23,-1,-29,92.1,112.82222222222222,20.5,13.333333333333334,6.388888888888889,20.61111111111111,-26.0,18
Air Force,2026-01-24,Boise State,86.3,153.5,22,11,3,14,-1,-42,91.51052631578948,113.51052631578946,21.0,13.31578947368421,6.368421052631579,20.736842105263158,-26.2,19
Air Force,2026-01-31,Fresno State,86.8,110.6,26,15,8,27,1,-17,91.25,115.50999999999999,21.05,13.2,6.2,20.4,-27.2,20
Air Force,2026-02-03,Grand Canyon,81.6,116.0,21,18,5,21,-1,-24,91.03809523809524,115.27619047619048,21.285714285714285,13.285714285714286,6.285714285714286,20.714285714285715,-22.2,21
Air Force,2026-02-07,San Diego State,77.5,126.3,22,20,3,18,1,-34,90.60909090909091,115.30909090909091,21.272727272727273,13.5,6.2272727272727275,20.727272727272727,-25.4,22
Air Force,2026-02-10,Colorado State,115.1,141.6,21,11,6,18,1,-17,90.0391304347826,115.78695652173913,21.304347826086957,13.782608695652174,6.086956521739131,20.608695652173914,-29.2,23
Air Force,2026-02-14,Fresno State,85.8,126.7,29,17,5,22,-1,-30,91.08333333333333,116.8625,21.291666666666668,13.666666666666666,6.083333333333333,20.5,-26.8,24
Air Force,2026-02-17,New Mexico,86.3,138.6,31,9,3,18,-1,-37,90.87200000000001,117.256,21.6,13.8,6.04,20.56,-24.4,25
Air Force,2026-02-21,UNLV,93.0,128.2,22,15,9,22,1,-25,90.69615384615385,118.07692307692308,21.96153846153846,13.615384615384615,5.923076923076923,20.46153846153846,-28.4,26
Air Force,2026-02-24,San Jose State,119.9,128.9,22,9,8,21,1,-6,90.78148148148148,118.45185185185184,21.962962962962962,13.666666666666666,6.037037037037037,20.51851851851852,-28.6,27
Air Force,2026-02-28,Wyoming,93.5,99.6,18,15,7,27,-1,-4,91.82142857142857,118.825,21.964285714285715,13.5,6.107142857142857,20.535714285714285,-23.0,28
Air Force,2026-03-03,Grand Canyon,86.1,123.5,17,12,0,20,1,-26,91.87931034482759,118.16206896551724,21.82758620689655,13.551724137931034,6.137931034482759,20.75862068965517,-20.4,29
Air Force,2026-03-07,Nevada,89.0,111.6,12,8,2,17,-1,-15,91.68666666666667,118.33999999999999,21.666666666666668,13.5,5.933333333333334,20.733333333333334,-19.6,30
Air Force,2026-03-11,Nevada,62.3,110.7,22,17,6,18,0,-35,91.6,118.12258064516129,21.35483870967742,13.32258064516129,5.806451612903226,20.612903225806452,-15.2,31
Akron,2025-11-16,Purdue,109.0,133.8,33,10,11,14,-1,-18,125.06666666666668,81.10000000000001,37.0,8.666666666666666,14.666666666666666,31.666666666666668,35.666666666666664,3
Akron,2025-11-21,Iona,123.6,96.5,21,10,10,28,0,21,121.05000000000001,94.275,36.0,9.0,13.75,27.25,22.25,4
Akron,2025-11-23,Evansville,138.8,84.4,30,11,10,17,0,38,121.55999999999999,94.72,33.0,9.2,13.0,27.4,22.0,5
Akron,2025-11-24,Yale,141.1,145.6,23,11,7,11,0,-3,124.43333333333334,93.0,32.5,9.5,12.5,25.666666666666668,26.8,6
Akron,2025-11-29,Milwaukee,133.2,102.8,23,14,4,31,1,24,126.81428571428572,100.51428571428572,31.142857142857142,9.714285714285714,11.714285714285714,23.571428571428573,19.2,7
Akron,2025-12-03,Bucknell,137.3,109.0,29,5,8,27,1,20,127.6125,100.8,30.125,10.25,10.75,24.5,12.4,8
Akron,2025-12-06,Tulane,120.1,96.9,31,14,11,31,-1,17,128.6888888888889,101.71111111111111,30.0,9.666666666666666,10.444444444444445,24.77777777777778,20.0,9
Akron,2025-12-13,Murray State,119.9,137.9,18,7,11,18,0,-15,127.83,101.23,30.1,10.1,10.5,25.4,19.2,10
Akron,2025-12-19,Eastern Michigan,125.7,97.3,18,8,11,30,1,21,127.10909090909091,104.56363636363636,29.0,9.818181818181818,10.545454545454545,24.727272727272727,8.6,11
Akron,2025-12-29,Concord,144.7,80.5,26,7,8,31,1,51,126.99166666666667,103.95833333333333,28.083333333333332,9.666666666666666,10.583333333333334,25.166666666666668,13.4,12
Akron,2026-01-03,Miami (OH),100.7,104.8,32,15,10,25,-1,-3,128.35384615384615,102.15384615384616,27.923076923076923,9.461538461538462,10.384615384615385,25.615384615384617,18.8,13
Akron,2026-01-06,Central Michigan,117.9,99.2,25,17,10,22,1,13,126.37857142857142,102.34285714285714,28.214285714285715,9.857142857142858,10.357142857142858,25.571428571428573,14.2,14
Akron,2026-01-09,Bowling Green,103.2,89.8,34,14,8,28,-1,10,125.81333333333333,102.13333333333334,28.0,10.333333333333334,10.333333333333334,25.333333333333332,13.4,15
Akron,2026-01-13,Ball State,122.9,108.7,35,8,7,22,1,10,124.4,101.3625,28.375,10.5625,10.1875,25.5,18.4,16
Akron,2026-01-17,Western Michigan,149.7,128.1,35,8,11,18,1,15,124.31176470588237,101.79411764705883,28.764705882352942,10.411764705882353,10.0,25.294117647058822,16.2,17
