Team,SOS,Pace
AR-Pine Bluff,-8.0,73.0
Abl Christian,-3.3,71.1
Air Force,-0.8,68.7
Akron,-0.5,72.9
Alabama,14.7,77.2
Alabama A&M,-9.7,69.1
Alabama St,-7.2,72.9
Albany,-7.0,67.6
Alcorn St,-7.3,71.2
American,-5.8,68.0
App State,-3.7,66.4
Arizona,15.5,73.1
Arizona St,10.2,72.6
Arkansas,14.1,75.0
Arkansas St,-2.4,74.9
Army,-7.8,70.3
Auburn,13.5,71.6
Austin Peay,-4.3,71.5
BYU,13.0,72.7
Ball St,-4.7,67.7
Baylor,11.2,71.4
Bellarmine,-5.2,67.8
Belmont,0.8,72.1
Bethune,-5.6,73.6
Binghamton,-11.0,68.2
Boise St,5.8,69.5
Boston College,4.1,69.2
Boston U,-5.9,66.7
Bowling Green,-2.5,72.1
Bradley,0.6,71.1
Brown,-4.1,69.8
Bryant,-7.9,67.2
Bucknell,-5.4,69.1
Buffalo,-3.3,69.6
Butler,8.2,73.2
C Arkansas,-3.9,71.9
C Connecticut,-8.3,66.9
C Michigan,-3.5,69.7
CS Bakersfield,-5.1,74.8
CS Fullerton,-1.7,77.3
CS Northridge,-2.2,77.9
Cal Baptist,-1.2,70.0
Cal Poly,-1.9,78.3
California,6.1,72.1
Campbell,-0.8,71.5
Canisius,-7.2,66.3
Charleston,-1.6,70.9
Charleston So,-5.3,77.3
Charlotte,-0.1,67.2
Chattanooga,-5.7,68.9
Chicago St,-6.3,68.2
Cincinnati,10.4,71.0
Clemson,10.4,67.2
Cleveland St,-5.0,73.2
Coastal Car,-3.7,71.2
Colgate,-5.2,70.1
Colorado,8.1,72.3
Colorado St,3.6,65.6
Columbia,-2.6,69.8
Coppin St,-9.9,71.0
Cornell,-0.7,73.6
Creighton,9.3,70.1
Dartmouth,-3.2,71.1
Davidson,1.7,66.3
Dayton,5.2,70.0
DePaul,6.5,69.4
Delaware,-3.0,66.5
Delaware St,-12.7,67.9
Denver,-4.3,70.9
Detroit Mercy,-3.2,71.4
Drake,-0.1,69.8
Drexel,-3.3,67.0
Duke,15.2,68.7
Duquesne,1.5,71.9
E Carolina,-1.8,72.1
E Illinois,-7.1,68.7
E Kentucky,-4.6,71.4
E Michigan,-1.8,70.5
E Tennessee St,-4.0,68.4
E Texas A&M,-4.1,70.0
E Washington,-1.0,71.1
Elon,-2.9,70.7
Evansville,-0.6,69.3
F Dickinson,-8.8,66.3
FGCU,-4.9,72.0
Fairfield,-6.3,69.0
Florida,15.5,74.1
Florida A&M,-8.5,72.3
Florida Atlantic,1.1,72.8
Florida Intl,-2.1,74.6
Florida St,9.0,73.3
Fordham,-1.9,66.2
Fresno St,1.8,70.8
Furman,-3.8,68.8
G Washington,3.0,71.6
Gardner-Webb,-7.5,72.2
George Mason,1.3,66.3
Georgetown,8.4,69.3
Georgia,11.3,76.5
Georgia So,-4.3,74.0
Georgia St,-4.3,70.9
Georgia Tech,3.9,73.9
Gonzaga,9.8,72.2
Grambling,-8.0,70.9
Grand Canyon,4.6,70.1
Green Bay,-3.0,66.8
Hampton,-4.1,68.9
Harvard,-1.7,66.2
Hawai'i,-3.0,74.5
High Point,-4.0,73.2
Hofstra,-0.3,67.8
Holy Cross,-6.8,67.0
Hou Christian,-4.6,66.5
Houston,14.5,67.2
Howard,-8.3,71.7
IU Indy,-5.4,76.7
Idaho,-2.8,71.5
Idaho St,-3.8,68.3
Illinois,14.4,68.5
Illinois Chicago,1.0,69.8
Illinois St,1.2,69.2
Incarnate Word,-3.9,67.2
Indiana,11.4,69.0
Indiana St,-0.9,71.7
Iona,-5.2,71.6
Iowa,11.9,64.8
Iowa St,14.1,69.7
J Madison,-3.2,69.4
Jackson St,-7.6,73.4
Jacksonville,-5.2,67.0
Jacksonville St,-2.7,68.2
Kansas,14.3,70.4
Kansas City,-8.1,73.3
Kansas St,8.9,75.4
Kennesaw St,-1.8,74.9
Kent St,-1.6,75.4
Kentucky,14.1,71.4
LIU,-5.9,70.1
LSU,9.6,72.0
La Salle,1.7,68.5
Lafayette,-6.6,68.4
Lamar,-3.9,67.9
Le Moyne,-7.6,70.5
Lehigh,-6.9,69.9
Liberty,-0.8,66.6
Lindenwood,-6.8,75.3
Lipscomb,-3.8,72.0
Little Rock,-6.1,69.2
Long Beach St,-2.7,73.5
Longwood,-6.1,72.9
Louisiana,-4.1,66.1
Louisiana Tech,-2.8,67.5
Louisville,12.8,72.4
Loyola Chi,0.4,67.8
Loyola MD,-7.8,71.1
Loyola Mymt,-0.2,70.5
Maine,-7.4,66.7
Manhattan,-7.0,70.3
Marist,-5.3,68.1
Marquette,8.8,72.9
Marshall,-2.8,72.7
Maryland,9.1,68.8
Maryland ES,-9.6,67.3
McNeese,-0.1,69.2
Memphis,4.1,74.1
Mercer,-3.1,71.2
Mercyhurst,-8.0,67.3
Merrimack,-3.3,66.0
Miami,9.3,71.0
Miami OH,-2.0,73.8
Michigan,16.3,73.4
Michigan St,13.9,68.8
Middle Tenn,-0.5,69.9
Milwaukee,-2.8,70.8
Minnesota,8.7,65.5
Miss Valley St,-11.2,71.7
Mississippi,10.9,71.5
Mississippi St,9.4,73.9
Missouri,10.6,70.8
Missouri St,-2.3,69.5
Monmouth,-2.0,69.4
Montana,-3.0,72.5
Montana St,-1.8,69.1
Morehead St,-6.5,69.1
Morgan St,-11.7,73.5
Mt St Mary's,-5.5,69.3
Murray St,1.4,73.8
N Alabama,-6.3,68.0
N Arizona,-4.9,66.7
N Colorado,-3.2,72.9
N Dakota St,-4.1,70.6
N Florida,-5.9,73.9
N Illinois,-4.5,70.7
N Iowa,1.7,65.3
N Kentucky,-4.0,73.1
N Texas,0.4,69.6
NC A&T,-4.6,71.3
NC Asheville,-3.5,69.5
NC Central,-10.9,68.5
NC Greensboro,-5.1,70.8
NC State,10.8,71.6
NC Wilmington,-2.7,68.0
NJIT,-7.5,69.6
NW State,-3.6,67.1
Navy,-5.9,67.3
Nebraska,12.5,69.0
Nevada,4.6,69.4
New Hampshire,-8.1,70.5
New Haven,-8.9,64.7
New Mexico,5.4,71.8
New Mexico St,-1.8,69.9
New Orleans,-0.9,72.4
Niagara,-7.3,65.1
Nicholls,-2.1,69.9
Norfolk St,-9.7,70.9
North Carolina,11.3,70.8
North Dakota,-5.5,71.1
Northeastern,-2.0,71.4
Northwestern,10.5,67.3
Notre Dame,7.9,69.5
Oakland,-0.7,73.1
Ohio,-2.1,72.7
Ohio St,12.8,68.9
Oklahoma,11.4,70.7
Oklahoma St,8.7,76.7
Old Dominion,-2.6,72.6
Omaha,-5.0,70.6
Oral Roberts,-5.2,71.4
Oregon,9.3,68.3
Oregon St,1.6,68.6
Pacific,1.0,67.9
Penn,-0.5,71.0
Penn St,6.5,68.7
Pepperdine,-1.9,71.8
Pittsburgh,8.0,66.6
Portland,-0.6,72.0
Portland St,-3.1,71.6
Prairie View,-9.0,74.4
Presbyterian,-4.8,68.7
Princeton,-1.5,66.6
Providence,9.0,76.2
Purdue,15.1,66.7
Purdue FW,-3.7,70.7
Queens,-3.6,73.1
Quinnipiac,-4.4,71.5
Radford,-5.5,75.8
Rhode Island,1.2,68.2
Rice,-1.7,70.4
Richmond,0.1,70.1
Rider,-7.1,67.2
Robert Morris,-3.7,68.7
Rutgers,7.1,69.0
S Alabama,-3.6,68.7
S Carolina St,-9.9,71.8
S Dakota St,-3.7,69.6
S Florida,4.1,77.1
S Illinois,1.2,72.4
S Indiana,-7.8,71.3
S Utah,-2.6,72.9
SC Upstate,-6.0,72.3
SE Louisiana,-3.0,67.3
SE Missouri St,-6.0,71.2
SF Austin,-2.3,68.4
SIU Edward,-7.9,68.1
SMU,9.9,73.2
Sacramento St,-3.2,74.0
Sacred Heart,-5.6,70.1
Saint Joseph's,1.2,69.9
Saint Louis,3.8,73.4
Saint Mary's,6.1,67.9
Saint Peter's,-5.2,67.7
Sam Houston,0.0,72.7
Samford,-3.6,70.9
San Diego,-1.2,70.9
San Diego St,7.1,72.0
San Francisco,2.6,69.2
San Jose St,2.1,67.4
Santa Clara,6.3,71.2
Seattle,0.5,70.5
Seton Hall,8.4,68.3
Siena,-5.1,65.9
South Carolina,8.0,70.2
South Dakota,-6.6,74.1
Southern,-6.5,73.7
Southern Miss,-3.1,71.7
St Bonaventure,1.0,69.8
St Francis PA,-8.4,71.8
St John's,11.5,73.5
St Thomas,-3.6,71.1
Stanford,7.3,69.6
Stetson,-5.7,69.4
Stonehill,-8.5,69.3
Stony Brook,-3.3,69.5
Syracuse,8.1,71.1
TCU,10.3,72.3
Tarleton St,-3.5,73.0
Temple,-0.8,67.9
Tenn Tech,-7.5,69.7
Tennessee,14.2,69.9
Tennessee St,-5.5,72.8
Texas,12.0,70.8
Texas A&M,10.8,76.0
Texas A&M-CC,-2.6,68.7
Texas So,-8.7,73.3
Texas St,-5.2,69.9
Texas Tech,14.3,69.7
The Citadel,-6.7,67.7
Toledo,-0.6,71.0
Towson,-1.2,65.9
Troy,-1.9,71.7
Tulane,-0.4,70.5
Tulsa,1.4,71.6
UAB,0.3,73.2
UC Davis,-2.3,73.4
UC Irvine,-1.5,73.4
UC Riverside,-2.8,72.6
UCF,9.7,72.8
UCLA,12.0,68.0
UCSB,-2.5,69.7
UCSD,-2.1,71.3
UConn,12.7,68.3
UL Monroe,-6.7,72.9
UMBC,-7.7,68.3
UMass,-2.5,74.5
UMass Lowell,-7.7,70.6
UNLV,4.1,73.1
USC,9.2,74.1
UT Arlington,-1.5,69.2
UT Martin,-6.5,67.9
UT Rio Grande,-1.6,69.2
UTEP,-2.4,67.9
UTSA,-3.1,71.6
Utah,7.7,70.3
Utah St,6.3,70.4
Utah Tech,-2.4,71.3
Utah Valley,-1.0,72.0
VCU,5.1,71.2
VMI,-7.9,69.4
Valparaiso,-0.1,69.5
Vanderbilt,13.6,73.2
Vermont,-6.7,66.5
Villanova,9.8,69.1
Virginia,11.1,69.6
Virginia Tech,8.5,71.4
W Carolina,-3.1,71.1
W Georgia,-6.4,73.0
W Illinois,-10.1,68.7
W Kentucky,-0.8,73.7
W Michigan,-3.3,71.3
Wagner,-8.2,68.1
Wake Forest,8.7,71.7
Washington,10.3,70.3
Washington St,2.4,70.5
Weber St,-3.3,72.3
West Virginia,8.8,66.3
Wichita St,2.2,71.1
William & Mary,-1.6,75.0
Winthrop,-2.4,74.1
Wisconsin,13.1,71.4
Wofford,-5.1,70.2
Wright St,-3.2,71.0
Wyoming,2.9,69.2
Xavier,8.5,73.5
Yale,-0.2,67.9
Youngstown St,-4.0,70.4
