Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Cal Poly,78.3,79.9,75.7,77.6,78.7,77.5
2,CS Northridge,77.9,77.6,74.1,78.4,77.5,74.8
3,CS Fullerton,77.3,81.7,76.1,75.5,78.4,70.4
4,Charleston So,77.3,78.7,78.3,80.2,75.6,71.9
5,S Florida,77.1,72.6,75.7,76.3,77.6,72.4
6,Alabama,76.9,73.0,74.1,76.0,77.5,78.5
7,Georgia,76.7,78.9,82.3,78.7,74.3,70.5
8,IU Indy,76.7,75.7,83.5,75.8,77.2,67.6
9,Oklahoma St,76.6,74.1,75.6,77.6,75.2,73.7
10,Providence,76.2,75.6,76.5,75.1,77.3,68.9
11,Radford,75.8,75.7,82.9,73.0,78.4,66.2
12,Kansas St,75.4,75.0,77.8,75.3,75.6,69.5
13,Arkansas,75.4,79.5,80.9,74.5,76.2,72.4
14,Kent St,75.4,71.7,71.1,76.9,74.1,69.5
15,Lindenwood,75.3,74.6,72.4,74.6,75.7,72.9
16,Texas A&M,75.3,64.8,67.5,75.8,74.7,70.4
17,William & Mary,75.0,70.2,66.2,75.4,74.7,72.1
18,Arkansas St,74.9,75.9,69.7,75.0,74.8,72.4
19,CS Bakersfield,74.8,79.9,84.0,73.3,76.3,69.5
20,Kennesaw St,74.7,69.4,69.6,74.4,74.9,73.0
21,Hawai'i,74.6,75.6,77.7,75.3,73.7,68.8
22,Florida Intl,74.6,71.2,66.6,73.8,75.4,72.6
23,UMass,74.5,73.5,71.3,75.5,73.5,73.9
24,Prairie View,74.4,69.1,73.3,74.3,74.4,72.8
25,Memphis,74.1,78.8,74.5,74.8,73.5,73.7
26,USC,74.1,74.1,81.8,75.0,73.3,70.8
27,Winthrop,74.1,76.5,80.0,73.8,74.3,76.8
28,South Dakota,74.1,69.8,65.2,75.3,72.9,77.0
29,Sacramento St,74.0,69.7,72.3,73.2,74.5,67.0
30,Georgia So,74.0,69.5,64.6,74.3,73.8,73.3
31,Georgia Tech,73.9,71.2,69.2,73.9,73.9,71.7
32,Mississippi St,73.9,76.4,73.3,73.8,74.0,71.9
33,N Florida,73.9,72.8,75.2,73.5,74.1,75.1
34,Murray St,73.8,73.9,73.2,72.3,75.2,68.5
35,Florida,73.8,67.6,64.1,74.6,73.2,72.1
36,Southern,73.7,69.1,67.9,72.4,74.3,72.0
37,W Kentucky,73.7,73.9,78.5,73.6,73.8,74.6
38,Saint Louis,73.6,75.1,72.5,73.6,73.6,69.9
39,Miami OH,73.6,68.8,67.7,74.1,73.3,71.8
40,Cornell,73.6,72.5,64.2,74.6,73.1,73.6
41,Bethune,73.6,72.4,68.8,73.9,73.4,71.2
42,Morgan St,73.5,76.3,77.7,72.2,74.5,74.5
43,Xavier,73.5,71.6,65.9,73.9,73.0,71.4
44,Long Beach St,73.5,77.7,77.1,72.0,74.7,68.6
45,High Point,73.4,78.3,79.9,72.1,74.5,68.8
46,UC Davis,73.4,78.2,84.4,72.3,74.3,70.1
47,Michigan,73.4,74.6,67.5,75.0,72.5,73.1
48,UC Irvine,73.4,74.3,75.5,74.3,72.7,72.2
49,Jackson St,73.4,70.4,72.0,72.6,73.7,72.5
50,Texas So,73.4,73.4,76.7,73.5,73.3,73.7
51,Kansas City,73.3,70.7,70.7,72.9,73.6,67.2
52,Florida St,73.3,71.4,68.7,74.4,72.2,72.3
53,SMU,73.2,66.6,67.8,74.8,71.4,71.5
54,Butler,73.2,75.2,76.6,73.9,72.4,69.3
55,Cleveland St,73.2,73.2,69.7,71.9,74.0,68.2
56,Arizona,73.2,75.9,79.5,73.8,72.6,72.7
57,UAB,73.2,70.7,68.1,73.3,73.0,72.4
58,Oakland,73.1,73.4,74.0,74.1,72.6,67.7
59,Tennessee St,73.1,71.4,80.4,72.8,73.2,74.4
60,N Kentucky,73.1,74.1,80.0,73.9,72.4,69.3
61,St John's,73.0,67.3,65.6,75.3,70.8,73.3
62,AR-Pine Bluff,73.0,71.5,66.9,70.3,74.2,74.0
63,W Georgia,73.0,74.8,77.8,72.3,73.5,70.5
64,Tarleton St,73.0,70.0,79.0,72.6,73.2,68.8
65,Longwood,72.9,80.5,78.1,73.6,72.5,71.7
66,UL Monroe,72.9,67.5,70.8,73.4,72.7,70.0
67,Queens,72.9,74.6,68.5,73.1,72.8,71.7
68,UNLV,72.9,71.5,67.8,73.5,72.4,67.4
69,S Utah,72.9,72.9,74.3,74.2,72.2,71.9
70,Alabama St,72.9,72.4,71.9,73.8,72.6,71.2
71,N Colorado,72.9,74.5,75.6,72.2,73.3,70.7
72,Marquette,72.9,72.9,76.6,73.0,72.7,70.4
73,UCF,72.9,74.7,75.6,73.5,72.1,75.8
74,Vanderbilt,72.8,67.6,65.4,73.2,72.5,71.8
75,Florida Atlantic,72.8,69.8,72.1,74.0,71.9,72.4
76,Colorado,72.7,78.5,87.4,73.0,72.4,70.3
77,Akron,72.7,70.1,68.3,74.2,71.8,74.6
78,Ohio,72.7,78.6,72.0,72.9,72.6,74.0
79,Sam Houston,72.7,73.9,78.0,70.9,73.7,70.8
80,Marshall,72.7,74.7,74.9,72.6,72.8,71.4
81,Arizona St,72.6,72.7,68.8,72.4,72.8,72.8
82,BYU,72.6,68.1,69.5,72.8,72.5,71.1
83,UC Riverside,72.6,74.1,72.3,73.4,72.1,71.3
84,Old Dominion,72.6,72.2,70.1,71.5,73.2,68.7
85,Montana,72.5,75.1,73.1,73.1,72.1,69.3
86,S Illinois,72.4,67.5,64.9,72.0,72.7,70.2
87,New Orleans,72.4,69.9,63.2,73.1,72.0,72.3
88,Louisville,72.4,71.4,68.9,73.9,70.9,70.7
89,Florida A&M,72.3,73.0,72.6,71.6,72.7,70.1
90,SC Upstate,72.3,69.1,66.6,73.7,71.3,75.0
91,Weber St,72.3,70.1,70.9,72.4,72.2,67.7
92,Gardner-Webb,72.2,70.4,72.8,72.3,72.1,71.9
93,E Carolina,72.1,74.3,78.7,72.6,71.7,70.1
94,Bowling Green,72.1,70.0,69.6,71.5,72.7,71.9
95,Belmont,72.1,68.5,73.2,72.1,72.1,71.9
96,California,72.0,71.4,70.4,71.0,73.9,71.8
97,Utah Valley,72.0,68.2,70.0,70.1,73.4,71.3
98,TCU,72.0,70.1,70.3,71.0,73.3,69.0
99,LSU,72.0,78.3,71.2,72.5,71.5,72.4
100,Tulsa,72.0,77.5,82.8,72.3,71.8,70.4
101,San Diego St,72.0,69.0,66.3,73.9,70.3,68.7
102,Lipscomb,72.0,67.7,64.0,70.6,72.9,68.8
103,FGCU,72.0,66.5,71.6,74.4,69.8,67.3
104,Portland,72.0,71.8,69.0,74.0,70.0,71.8
105,Gonzaga,72.0,66.3,65.5,73.7,70.8,73.1
106,C Arkansas,71.9,73.1,82.7,70.6,72.8,71.3
107,Duquesne,71.9,65.3,67.3,72.4,71.4,67.5
