Rank,Team,Rating,Hi,Lo,Last
1,Michigan (37-3),17.1,1,220,1
2,Arizona (36-3),16.4,2,28,2
3,Purdue (30-9),15.4,2,219,3
4,Florida (27-8),15.4,1,37,4
5,Duke (35-3),15.2,1,97,5
6,Alabama (25-10),15.2,1,260,6
7,Illinois (28-9),15.1,4,232,7
8,Tennessee (25-12),14.9,4,312,8
9,Houston (30-7),14.7,1,210,9
10,UConn (34-6),14.3,2,255,16
11,Texas Tech (23-11),14.3,5,228,10
12,Kansas (24-11),14.3,4,247,11
13,Iowa St (29-8),14.3,6,254,12
14,Kentucky (22-14),14.3,2,204,13
15,Michigan St (27-8),14.2,9,201,14
16,Arkansas (28-9),14.0,4,215,15
17,Vanderbilt (27-9),13.6,16,235,17
18,Iowa (24-13),13.1,17,272,18
19,BYU (23-12),13.0,3,39,19
20,Wisconsin (24-11),13.0,17,262,20
21,Texas (21-15),12.9,2,102,21
22,Ohio St (21-13),12.9,20,284,22
23,Nebraska (28-7),12.8,17,308,23
24,Louisville (24-11),12.8,12,234,24
25,Auburn (22-16),12.8,2,265,25
26,St John's (30-7),12.3,3,225,26
27,UCLA (24-12),12.2,9,260,27
28,Indiana (18-14),11.5,22,283,28
29,Georgia (22-11),11.3,24,275,29
30,Oklahoma (21-16),11.3,14,308,30
31,Texas A&M (22-12),11.2,31,270,31
32,Baylor (17-17),11.2,17,229,32
33,North Carolina (24-9),11.1,18,278,33
34,Virginia (30-6),11.0,27,330,34
35,Mississippi (15-20),10.9,34,279,35
36,TCU (23-12),10.9,23,294,36
37,NC State (20-14),10.7,21,280,37
38,Missouri (20-13),10.6,28,284,38
39,Northwestern (15-19),10.6,30,299,39
40,Clemson (24-11),10.5,21,321,40
41,Washington (16-17),10.4,21,315,41
42,Cincinnati (18-15),10.4,34,295,42
43,Arizona St (17-16),10.2,36,297,43
44,Villanova (24-9),10.0,5,86,44
45,UCF (21-12),9.9,28,205,45
46,Miami (26-9),9.8,29,297,46
47,SMU (20-14),9.8,24,245,47
48,Gonzaga (31-4),9.7,1,236,48
49,LSU (15-17),9.5,42,311,49
50,Mississippi St (13-19),9.4,8,199,50
51,Oregon (12-20),9.3,33,119,51
52,Creighton (16-18),9.3,9,228,52
53,USC (18-14),9.2,34,248,53
54,Maryland (12-21),9.2,36,293,54
55,West Virginia (21-14),9.2,55,275,55
56,Providence (15-18),9.1,32,273,56
57,Kansas St (12-20),8.9,23,330,57
58,Marquette (12-20),8.9,34,266,59
59,Florida St (18-15),8.9,33,328,58
60,Minnesota (15-18),8.7,53,343,60
61,Xavier (15-18),8.6,27,222,61
62,Georgetown (16-18),8.5,38,287,62
63,Seton Hall (21-12),8.5,57,351,63
64,Oklahoma St (20-15),8.4,54,256,64
65,Virginia Tech (19-13),8.4,49,290,65
66,Wake Forest (18-17),8.4,24,289,66
67,Butler (16-16),8.3,23,347,67
68,Colorado (17-16),8.2,65,221,68
69,Syracuse (15-17),8.0,24,353,69
70,South Carolina (13-19),8.0,69,344,70
71,Pittsburgh (13-20),7.9,54,211,71
72,Notre Dame (13-18),7.8,27,328,72
73,Utah (10-22),7.7,68,286,73
74,Utah St (29-7),7.4,46,302,74
75,Stanford (20-13),7.3,70,231,75
76,San Diego St (22-11),7.3,28,307,76
77,Rutgers (14-20),7.1,75,349,77
78,DePaul (16-16),6.6,76,340,78
79,Santa Clara (26-9),6.6,63,302,79
80,Penn St (12-20),6.6,74,278,80
81,Saint Mary's (27-6),6.3,51,215,81
82,VCU (28-8),6.1,16,296,82
83,Boise St (20-12),5.9,40,320,83
84,California (22-12),5.7,74,262,84
85,New Mexico (26-11),5.5,63,268,85
86,Saint Louis (29-6),5.4,79,306,86
87,Dayton (25-12),5.2,37,299,87
88,Nevada (24-13),5.0,69,186,88
89,S Florida (25-9),4.8,32,309,89
90,Grand Canyon (20-12),4.7,74,231,90
91,UNLV (18-17),4.4,75,234,91
92,Memphis (13-19),4.1,4,120,92
93,Boston College (11-20),4.0,77,219,93
94,Georgia Tech (11-20),3.8,85,331,94
95,Colorado St (21-13),3.7,85,281,95
96,G Washington (19-16),3.3,84,265,96
97,Wichita St (24-12),3.0,74,296,97
98,Wyoming (18-15),3.0,95,353,98
99,San Francisco (17-16),2.5,69,321,99
100,Tulsa (30-8),2.4,77,319,100
101,Washington St (12-20),2.3,80,233,101
102,Illinois St (23-13),2.2,40,162,102
103,N Iowa (23-13),2.2,99,251,103
104,San Jose St (9-24),2.2,13,156,104
105,Fresno St (13-19),1.9,100,349,105
106,Saint Joseph's (24-12),1.8,104,300,106
107,La Salle (9-23),1.7,101,325,107
108,Davidson (20-14),1.7,97,321,108
109,Duquesne (18-15),1.6,103,311,109
110,Oregon St (17-16),1.5,53,212,110
111,Murray St (20-13),1.4,92,267,111
112,Rhode Island (16-16),1.3,102,310,112
113,George Mason (23-10),1.3,96,302,113
114,S Illinois (16-16),1.2,85,358,114
115,Florida Atlantic (18-15),1.2,57,192,115
116,St Bonaventure (17-17),1.0,70,234,116
117,Illinois Chicago (19-16),1.0,114,302,117
118,Seattle (21-14),0.9,113,309,118
119,Pacific (18-15),0.9,115,340,119
120,Belmont (26-6),0.8,111,343,120
121,Bradley (21-13),0.6,80,170,121
122,McNeese (28-6),0.6,76,313,122
123,N Texas (19-14),0.5,90,333,123
124,UAB (20-12),0.4,73,309,124
125,Loyola Chi (9-24),0.4,116,299,125
126,Hofstra (24-11),0.1,51,176,126
127,Richmond (15-17),0.1,118,358,127
128,Akron (29-6),0.1,51,304,128
129,Sam Houston (22-12),0.0,75,330,129
130,Charlotte (17-17),0.0,100,267,130
131,Valparaiso (18-15),-0.1,116,327,131
132,Penn (18-12),-0.1,104,365,132
133,Drake (14-20),-0.1,127,328,133
134,Loyola Mymt (15-17),-0.2,111,317,134
135,Yale (24-7),-0.2,79,153,135
136,Liberty (26-8),-0.4,89,319,136
137,Tulane (18-15),-0.4,107,264,137
138,Middle Tenn (17-15),-0.5,82,363,138
139,Portland (15-19),-0.6,129,360,139
140,Evansville (7-25),-0.6,2,331,140
141,Cal Baptist (25-9),-0.7,90,295,141
142,Toledo (19-15),-0.7,111,208,142
143,Temple (16-16),-0.7,127,343,143
144,Oakland (16-16),-0.7,1,186,144
145,W Kentucky (18-14),-0.7,107,332,145
146,Cornell (15-13),-0.7,41,232,146
147,Air Force (3-29),-0.7,64,304,147
148,New Orleans (15-18),-0.8,5,283,148
149,Indiana St (11-21),-0.9,88,291,149
150,Campbell (16-18),-0.9,13,197,150
151,Utah Valley (25-9),-1.0,85,325,151
152,E Washington (14-19),-1.0,11,229,152
153,Towson (19-15),-1.2,48,222,153
154,San Diego (12-21),-1.3,136,355,154
155,Kennesaw St (21-14),-1.3,141,364,155
156,Miami OH (32-2),-1.3,137,360,156
157,Troy (22-12),-1.5,29,170,157
158,UT Arlington (18-14),-1.5,148,342,158
159,Princeton (9-20),-1.5,20,250,159
160,UC Irvine (23-12),-1.5,104,327,160
161,UT Rio Grande (19-14),-1.5,9,251,161
162,Rice (13-18),-1.6,97,310,162
163,Kent St (24-10),-1.6,112,275,163
164,Charleston (21-11),-1.7,130,320,164
165,Harvard (17-12),-1.7,98,359,165
166,William & Mary (20-12),-1.7,78,348,166
167,CS Fullerton (18-16),-1.7,156,364,167
168,New Mexico St (16-16),-1.7,130,365,168
169,E Carolina (11-20),-1.7,131,315,169
170,E Michigan (10-21),-1.8,110,294,170
171,Montana St (18-14),-1.8,61,244,171
172,Pepperdine (9-23),-1.9,162,333,172
173,Fordham (17-15),-1.9,144,363,173
174,Cal Poly (14-19),-2.0,16,263,174
175,High Point (31-5),-2.0,111,262,175
176,Florida Intl (15-17),-2.0,94,346,176
177,Northeastern (7-24),-2.0,114,256,177
178,UCSD (23-11),-2.1,109,354,178
179,Monmouth (19-15),-2.1,118,357,179
180,Nicholls (14-19),-2.1,5,222,180
181,Ohio (15-17),-2.2,32,195,181
182,CS Northridge (20-14),-2.2,148,328,182
183,Missouri St (16-18),-2.2,142,364,183
184,SF Austin (28-6),-2.3,177,343,184
185,UC Davis (19-14),-2.3,131,355,185
186,Winthrop (23-11),-2.3,39,199,186
187,Utah Tech (19-15),-2.4,119,308,187
188,UTEP (11-20),-2.4,147,361,188
189,Hawai'i (24-9),-2.4,10,292,189
190,Idaho (21-15),-2.4,85,275,190
191,Arkansas St (20-12),-2.5,60,192,191
192,Bowling Green (18-14),-2.5,155,345,192
193,UMass (17-16),-2.5,156,328,193
194,UCSB (18-14),-2.5,135,334,194
195,NC Wilmington (27-7),-2.6,105,355,195
196,S Utah (10-22),-2.6,44,348,196
197,Texas A&M-CC (18-15),-2.6,62,348,197
198,Wright St (23-12),-2.6,129,323,198
199,Old Dominion (12-21),-2.7,75,249,199
200,Columbia (16-12),-2.7,91,320,200
201,Jacksonville St (15-17),-2.7,146,364,201
202,Long Beach St (10-22),-2.7,15,265,202
203,Louisiana Tech (20-14),-2.7,41,335,203
204,UC Riverside (10-22),-2.8,188,355,204
205,Marshall (19-13),-2.8,47,206,205
206,Milwaukee (12-20),-2.8,77,252,206
207,Delaware (10-21),-3.0,125,335,207
208,Elon (14-18),-3.0,141,349,208
209,UTSA (5-25),-3.0,136,343,209
210,Montana (18-16),-3.0,112,338,210
211,Green Bay (18-15),-3.0,17,329,211
212,SE Louisiana (9-22),-3.0,13,272,212
213,W Carolina (15-16),-3.0,3,300,213
214,Mercer (19-13),-3.1,12,256,214
215,Portland St (20-11),-3.1,63,315,215
216,Dartmouth (11-16),-3.2,99,356,216
217,Southern Miss (19-16),-3.2,189,336,217
218,Merrimack (23-11),-3.2,58,244,218
219,Detroit Mercy (17-15),-3.2,36,309,219
220,Furman (22-13),-3.2,71,254,220
221,Sacramento St (10-21),-3.2,159,365,221
222,J Madison (18-15),-3.2,63,267,222
223,N Colorado (20-12),-3.3,172,364,223
224,Weber St (16-16),-3.3,57,352,224
225,Abl Christian (14-19),-3.3,198,358,225
226,Queens (21-14),-3.3,137,274,226
227,Drexel (17-16),-3.3,170,355,227
228,Buffalo (17-15),-3.3,223,346,228
229,W Michigan (10-21),-3.3,213,341,229
230,Stony Brook (17-15),-3.4,212,363,230
231,Tarleton St (14-18),-3.4,22,279,231
232,NC Asheville (15-17),-3.5,57,262,232
233,N Dakota St (27-8),-3.6,66,270,233
234,C Michigan (10-21),-3.6,105,329,234
235,Samford (18-14),-3.6,68,261,235
236,St Thomas (24-10),-3.6,11,267,236
237,NW State (10-22),-3.6,23,250,237
238,Robert Morris (22-11),-3.6,16,268,238
239,S Alabama (21-12),-3.7,90,345,239
240,Purdue FW (17-15),-3.7,27,264,240
241,Coastal Car (19-13),-3.7,160,336,241
242,App State (19-13),-3.7,154,321,242
243,S Dakota St (14-18),-3.7,102,319,243
244,Idaho St (13-20),-3.9,94,344,244
245,Lipscomb (19-13),-3.9,2,245,245
246,Lamar (12-19),-3.9,192,365,246
247,C Arkansas (22-12),-3.9,31,361,247
248,Incarnate Word (12-19),-3.9,45,340,248
249,E Tennessee St (23-11),-3.9,129,338,249
250,Youngstown St (15-17),-4.0,27,274,250
251,N Kentucky (20-14),-4.0,166,356,251
252,Brown (9-18),-4.1,101,309,252
253,Louisiana (11-22),-4.1,106,272,253
254,E Texas A&M (11-21),-4.1,183,361,254
255,Hampton (13-19),-4.2,132,317,255
256,Denver (15-17),-4.3,36,328,256
257,Quinnipiac (19-13),-4.3,3,261,257
258,Georgia So (21-16),-4.3,90,311,258
259,Georgia St (10-22),-4.3,67,306,259
260,Austin Peay (22-9),-4.4,102,359,260
261,Siena (23-12),-4.5,141,298,261
262,Hou Christian (12-20),-4.6,261,365,262
263,N Illinois (9-21),-4.6,115,322,263
264,E Kentucky (11-21),-4.6,108,358,264
265,NC A&T (11-19),-4.6,38,363,265
266,Presbyterian (15-18),-4.7,187,327,266
267,Ball St (12-19),-4.8,212,346,267
268,FGCU (16-18),-4.9,151,337,268
269,N Arizona (10-22),-5.0,82,345,269
270,Cleveland St (11-22),-5.0,81,340,270
271,Omaha (16-17),-5.0,44,309,271
272,Wofford (19-13),-5.0,48,293,272
273,NC Greensboro (15-19),-5.1,21,292,273
274,Tennessee St (23-10),-5.1,167,350,274
275,CS Bakersfield (8-24),-5.1,58,333,275
276,Saint Peter's (17-12),-5.2,63,345,276
277,Colgate (18-15),-5.2,9,279,277
278,Iona (18-14),-5.2,100,281,278
279,Oral Roberts (10-23),-5.2,34,331,279
280,Jacksonville (12-20),-5.2,49,283,280
281,Charleston So (15-17),-5.2,55,358,281
282,Texas St (19-13),-5.2,91,334,282
283,Marist (19-12),-5.3,37,327,283
284,Bellarmine (13-19),-5.3,6,337,284
285,IU Indy (7-25),-5.3,23,360,285
286,Mt St Mary's (15-17),-5.4,52,298,286
287,LIU (24-11),-5.4,42,299,287
288,Bucknell (10-23),-5.4,110,292,288
289,Radford (16-16),-5.5,164,349,289
290,North Dakota (18-17),-5.5,9,337,290
291,Sacred Heart (14-19),-5.6,146,351,291
292,Chattanooga (13-19),-5.7,80,312,292
293,Stetson (12-21),-5.7,84,355,293
294,Bethune (17-15),-5.7,6,294,294
295,American (16-16),-5.8,34,314,295
296,Boston U (17-17),-5.9,40,305,296
297,Navy (26-8),-5.9,47,329,297
298,SC Upstate (13-19),-6.0,93,345,298
299,N Florida (7-25),-6.0,3,338,299
300,SE Missouri St (20-13),-6.1,7,315,300
301,Longwood (16-16),-6.1,157,358,301
302,Little Rock (12-20),-6.1,150,363,302
303,Fairfield (21-13),-6.2,54,337,303
304,Chicago St (7-25),-6.3,20,340,304
305,N Alabama (9-21),-6.3,10,317,305
306,W Georgia (15-17),-6.5,30,337,306
307,Southern (17-17),-6.5,5,309,307
308,Lafayette (11-21),-6.6,78,336,308
309,UT Martin (22-11),-6.6,45,326,309
310,Morehead St (20-13),-6.6,136,364,310
311,South Dakota (16-16),-6.7,106,339,311
312,UL Monroe (4-28),-6.7,93,361,312
313,Vermont (22-12),-6.7,172,360,313
314,The Citadel (11-22),-6.7,280,365,314
315,Holy Cross (11-22),-6.8,5,354,315
316,Lindenwood (18-15),-6.9,18,331,316
317,Manhattan (12-20),-6.9,171,362,317
318,Lehigh (18-17),-6.9,2,342,318
319,Albany (11-21),-7.0,17,328,319
320,Rider (4-25),-7.0,11,338,320
321,E Illinois (13-20),-7.1,110,333,321
322,Canisius (10-21),-7.1,41,357,322
323,Niagara (8-22),-7.2,56,356,323
324,Alabama St (10-22),-7.3,23,324,324
325,Maine (8-24),-7.3,33,326,325
326,Alcorn St (9-23),-7.4,28,326,326
327,Gardner-Webb (4-29),-7.5,9,361,327
328,NJIT (16-17),-7.5,110,357,328
329,Tenn Tech (13-18),-7.6,83,353,329
330,Le Moyne (15-17),-7.6,210,365,330
331,Howard (24-11),-7.6,53,360,331
332,Jackson St (12-21),-7.6,2,332,332
333,UMass Lowell (15-18),-7.6,228,357,333
334,UMBC (24-9),-7.7,175,362,334
335,Loyola MD (12-20),-7.7,136,360,335
336,Army (11-21),-7.8,279,363,336
337,VMI (6-26),-7.8,213,358,337
338,S Indiana (7-23),-7.9,42,351,338
339,Bryant (9-22),-7.9,60,342,339
340,SIU Edward (19-13),-7.9,122,359,340
341,Mercyhurst (17-17),-8.0,44,358,341
342,AR-Pine Bluff (13-19),-8.1,35,363,342
343,New Hampshire (9-21),-8.1,36,355,343
344,Grambling (14-19),-8.1,163,359,344
345,Kansas City (4-27),-8.1,213,345,345
346,Wagner (14-17),-8.2,29,358,346
347,C Connecticut (18-12),-8.3,130,357,347
348,St Francis PA (7-24),-8.4,16,360,348
349,Stonehill (12-21),-8.5,224,363,349
350,Florida A&M (15-16),-8.5,29,355,350
351,Texas So (12-18),-8.8,3,351,351
352,F Dickinson (11-21),-8.8,13,363,352
353,New Haven (14-17),-8.9,21,361,353
354,Prairie View (19-18),-8.9,294,365,354
355,Maryland ES (9-23),-9.6,43,362,355
356,Norfolk St (15-17),-9.7,177,357,356
357,Alabama A&M (18-15),-9.8,253,361,357
358,S Carolina St (10-22),-9.9,16,361,358
359,Coppin St (7-24),-9.9,48,364,359
360,W Illinois (5-26),-10.1,42,362,360
361,NC Central (14-18),-10.9,6,362,361
362,Binghamton (8-23),-10.9,43,365,362
363,Miss Valley St (3-30),-11.2,157,365,363
364,Morgan St (14-16),-11.7,65,364,364
365,Delaware St (8-23),-12.7,40,365,365
