date,team,opponent,location,MOV,OffRtg_diff,DefRtg_diff,ThreePA_diff,TOV_diff,ORB_diff,DRB_diff,RecentForm_diff,SOS_diff,Pace_diff
2025-11-19,Alabama State,Air Force,-1,-2,10.450000000000003,-4.025000000000006,4.5,-1.75,4.25,2.0,12.25,-6.6,4.200000000000003
2026-01-19,Alabama State,Alabama A&M,0,-4,0.529411764705884,8.164705882352933,2.882352941176471,1.2941176470588243,2.4705882352941178,-3.3529411764705905,-14.4,2.500000000000001,3.8000000000000114
2026-02-28,Alabama State,Alabama A&M,-1,1,-3.1464285714285722,2.2749999999999915,4.5,1.7142857142857135,3.0357142857142856,-1.5357142857142847,2.0,2.500000000000001,3.8000000000000114
2026-01-10,Alcorn State,Alabama A&M,-1,2,-10.5548717948718,20.90102564102567,1.23076923076923,4.323076923076924,-0.4153846153846157,-6.661538461538459,-40.8,2.4000000000000004,2.1000000000000085
2026-01-12,Alcorn State,Alabama State,-1,-15,-10.77767857142858,9.268750000000011,-2.553571428571427,2.6071428571428577,-3.1517857142857135,-3.0,-19.400000000000002,-0.10000000000000053,-1.7000000000000028
2026-03-09,Alcorn State,Alabama State,0,12,-4.8197849462365525,8.368064516129039,-3.7612903225806456,0.1913978494623656,-2.6752688172043015,-3.262365591397849,-1.5999999999999996,-0.10000000000000053,-1.7000000000000028
2025-12-13,Arizona,Alabama,0,21,-1.4722222222222001,-10.263888888888886,-20.111111111111114,2.8472222222222214,1.9305555555555554,-1.9166666666666679,-1.1999999999999993,1.1999999999999993,-3.700000000000003
2025-12-16,Arizona,Abilene Christian,1,34,14.939999999999998,-2.4966666666666555,-2.788888888888888,-1.2333333333333343,1.9222222222222207,5.288888888888888,19.2,19.7,2.0
2026-01-14,Arizona State,Arizona,-1,-7,-11.599999999999994,16.099999999999994,5.125,-0.5625,-4.375,-6.1875,-33.6,-6.199999999999999,-0.6000000000000085
2026-01-31,Arizona State,Arizona,1,-13,-11.495238095238093,17.509523809523813,6.0,0.2857142857142865,-4.0,-7.142857142857142,-23.2,-6.199999999999999,-0.6000000000000085
2026-02-18,Arkansas,Alabama,-1,-2,2.352000000000004,-2.367999999999995,-13.680000000000003,-0.6400000000000006,-0.7999999999999989,-4.32,8.2,-1.1999999999999993,-1.5
2026-03-26,Arkansas,Arizona,0,-21,2.4722222222222285,13.224999999999994,5.0,-1.6944444444444446,-2.3888888888888893,-5.055555555555557,-6.6,-2.3999999999999986,2.200000000000003
2026-01-03,Arkansas–Pine Bluff,Alabama A&M,1,12,0.9461538461538481,13.207692307692312,5.846153846153847,3.3076923076923066,1.4615384615384617,-1.9230769230769234,10.4,1.700000000000001,3.9000000000000057
2026-01-05,Arkansas–Pine Bluff,Alabama State,1,11,0.3928571428571388,3.0500000000000114,1.642857142857146,1.7857142857142865,-1.2142857142857135,1.3571428571428577,34.8,-0.7999999999999998,0.09999999999999432
